tweet,label
"#DataBocor Mahfud Akui Data Pejabat Diretas Bjorka, Data Luhut Diposting di Telegram  https://t.co/VgqzoUf3da",netral
"BSSN Anggarkan Rp 1,8 Miliar untuk Buat Kolam Ranang, Fadli Zon: Lebih Penting dari Keamanan Siber  https://t.co/YVePTxowe4 #BSSN #DataBocor #FadliZon #KolamRenang",positif
"@NadiBangsa @nvcarenvmind @opposite090l92 @bjorkanism Terus mau nyalahin siapa dong , ini udah nunjukin bahwa data kita gak di lindungi sama sekali wkwkwk daftar sim card-databocor-himbauan basi suruh ganti kata sandi.. ya udhlah ya , nyimak aja apa yang di perbuat si hacker itu ðŸ¤£",netral
"#Demo versi IT... #databocor #hackerbjorka panen fans, hingga jadi #trending di #Media masa dan #Viral di #Indonesia banyak #Data bocor. Masyarakat tak panik jika yang menjaga #data nya tidak kebobolan. #Pemerintah perlu solusi realistis.",positif
Puan Desak Pemerintah Segera Audit Keamanan Siber  https://t.co/1zBpy5mKNX #AuditKeamanan #DataBocor #PuanMaharani,positif
"Bjorka hecker.??? hahaha, kominfo butuh proyek broo udah brapatahun tidur tanpa asupan dana. Dari kmarin nyari duit ancam blokar blokir sosmed hahaha. Pake logika.  #Bjorka #bjorkanism #kominfo #hacker #hackerbjorka #databocor",negatif
"Pihak UB Koordinasi dengan BSSN Terkait Data Mahasiswa Alumi yang Tersebar, Terkait peretas yang di duga menyebarkan data alumni Mahasiswa S1 Universitas Brawijaya (UB) tahun 2020 #databocor #universitasbrawijaya #BSSN   https://t.co/LduVGn6Yyk",positif
Data pribadi milik Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan dibocorkan oleh akun bernamaÂ Bjorka #bjorka #luhut #databocor #kebocorandata #luhutbinsarpandjaitan #viral #news #trending  Selengkapnya;  https://t.co/YUtRF8xw2d,netral
"Some  Marketing Tips: (Grab it, Free of Cost ðŸ˜)  1. Know who youâ€™re targeting  2. Create delightful products and practice smart marketing  3. Consumers are smarter than you think  4. Do SEO for your existing pages #research #MarketingStrategy #todaystip #databocor",netral
Instruksi Presiden Jokowi Tangani Dugaan Data Bocor  https://t.co/PoL1ESMpeY  #Bjorka #Jokowi #DataBocor,positif
"Data mu aman ? Data Pejabat Negara saja bocor, yang tanggung jawab siapa ðŸ˜“ . . #mncnewsprime #adjatwiratma #mncnewschannelno1 @mncnewschannel w/ @bssn_ri @christinaaryani @sutadiheru #databocor #databocorlagi  https://t.co/TdBs0ZZx7U",negatif
"Marak Data Bocor, BSSN: Sistem Elektronik Aman Tidak Diserang  https://t.co/G0I1hc3x32  #DataBocor #BSSN #Bjorka",positif
Kasus Munir kembali menjadi perbincangan selepas hacker Bjorka mengunggah dokumen tentang sosok yang disebutnya sebagai pembunuh Munir. / #Hacker #Bjorka #Pemerintah #Indonesia #Publik #DataBocor #Kebocorandata #JernihMelihatDunia   Baca di  https://t.co/3WkngP1d5N  https://t.co/flpzeX93Po,netral
G Plate itu bisa mundur nggak sih? #Bjorka  #databocor,negatif
"Data Mahasiswa Alumi UB Angkatan 2020, Tersebar, Peretas di duga menyebarkan data alumni Mahasiswa S1 Universitas Brawijaya (UB) tahun 2020 #databocor #alumniUB #angkatan2020   https://t.co/GyzyzTciZq",positif
Bjorka kemudian membagikan data pribadi yang diduga milik sejumlah pejabat publik Indonesia melalui grup Telegram miliknya. / #Hacker #Bjorka #Pemerintah #Indonesia #Kemenkominfo #Publik #DataBocor #Kebocorandata #JernihMelihatDunia   Baca di  https://t.co/3WkngP1d5N  https://t.co/9OLZdbfZQD,netral
