,tweet
0,"['mahfud', 'aku', 'data', 'jabat', 'retas', 'bjorka', 'data', 'luhut', 'diposting', 'telegram']"
1,"['bssn', 'anggar', 'rp', '18', 'miliar', 'kolam', 'ranang', 'fadli', 'zon', 'aman', 'siber']"
2,"['nyalahin', 'udah', 'nunjukin', 'data', 'gak', 'lindung', 'wkwkwk', 'daftar', 'sim', 'card', 'databocor', 'himbauan', 'basi', 'suruh', 'ganti', 'sandi', 'ya', 'udhlah', 'ya', 'nyimak', 'aja', 'buat', 'si', 'hacker']"
3,"['versi', 'it', 'panen', 'fans', 'bocor', 'masyarakat', 'panik', 'jaga', 'nya', 'bobol', 'solusi', 'realistis']"
4,"['puan', 'desak', 'perintah', 'audit', 'aman', 'siber']"
5,"['bjorka', 'hecker', 'hahaha', 'kominfo', 'butuh', 'proyek', 'broo', 'udah', 'brapatahun', 'tidur', 'asupan', 'dana', 'kmarin', 'nyari', 'duit', 'ancam', 'blokar', 'blokir', 'sosmed', 'hahaha', 'pake', 'logika']"
6,"['ub', 'koordinasi', 'bssn', 'kait', 'data', 'mahasiswa', 'alum', 'sebar', 'kait', 'retas', 'duga', 'sebar', 'data', 'alumni', 'mahasiswa', 's1', 'universitas', 'brawijaya', 'ub', '2020']"
7,"['data', 'pribadi', 'milik', 'menteri', 'koordinator', 'bidang', 'maritim', 'investasi', 'luhut', 'binsar', 'pandjaitan', 'bocor', 'akun', 'nama', 'bjorka', 'lengkap']"
8,"['some', 'marketing', 'tips', 'grab', 'it', 'free', 'of', 'cost', '1', 'know', 'who', 'you', 're', 'targeting', '2', 'create', 'delightful', 'products', 'and', 'practice', 'smart', 'marketing', '3', 'consumers', 'are', 'smarter', 'than', 'you', 'think', '4', 'do', 'seo', 'for', 'your', 'existing', 'pages']"
9,"['instruksi', 'presiden', 'jokowi', 'tangan', 'duga', 'data', 'bocor']"
10,"['data', 'mu', 'aman', 'data', 'jabat', 'negara', 'bocor', 'tanggung', 'w', 'ri']"
11,"['marak', 'data', 'bocor', 'bssn', 'sistem', 'elektronik', 'aman', 'serang']"
12,"['munir', 'bincang', 'lepas', 'hacker', 'bjorka', 'unggah', 'dokumen', 'sosok', 'sebut', 'bunuh', 'munir', 'baca']"
13,"['g', 'plate', 'mundur', 'nggak', 'sih']"
14,"['data', 'mahasiswa', 'alum', 'ub', 'angkat', '2020', 'sebar', 'retas', 'duga', 'sebar', 'data', 'alumni', 'mahasiswa', 's1', 'universitas', 'brawijaya', 'ub', '2020']"
15,"['bjorka', 'bagi', 'data', 'pribadi', 'duga', 'milik', 'jabat', 'publik', 'indonesia', 'grup', 'telegram', 'milik', 'baca']"
16,"['9', 'september', '2022', 'bjorka', 'klaim', 'milik', 'dokumen', 'surat', 'surat', 'duga', 'milik', 'presiden', 'joko', 'widodo', 'baca']"
17,"['6', 'september', '2022', 'bjorka', 'beber', 'bocor', 'data', '105', 'juta', 'duduk', 'indonesia', 'baca']"
18,"['31', 'agustus', '2022', 'bjorka', 'breached', 'forums', 'klaim', 'milik', 'file', 'kompresi', '18', 'gb', 'isi', 'data', 'kartu', 'sim', 'langgan', 'indonesia', 'baca']"
