,tweet
0,"['effect', 'tragedi', 'kanjuruhan', 'effect', 'tragedi', 'kanjuruhan', 'pengaruh', 'suara', 'pilih', 'lari', 'anies', 'jatim', 'casenya', 'rugi', 'korban', 'kawan']"
1,"['sambo', 'tragedi', 'kanjuruhan', 'ya']"
2,"['komnas', 'ham', 'hasil', 'investigasi', 'tragedi', 'kanjuruhan', 'publik', 'rabu', '12102022', 'siang']"
3,"['psm', 'makassar', 'tim', 'intens', 'gelar', 'latih', 'liga', '1', 'henti', 'imbas', 'tragedi', 'kanjuruhan']"
4,"['polisi', 'sangka', 'tragedi', 'kanjuruhan', 'periksa', 'polda', 'jatim', 'siang', 'periksa', 'tunda', 'nasihat', 'hukum']"
5,"['korban', 'tinggal', 'dunia', 'tragedi', 'kanjuruhan', 'tambah', 'orang', 'total', '132', 'orang', 'salah', 'dokter', 'rssa', 'dr', 'arie', 'zainul', 'fatoni', 'korban', 'wanita', 'nama', 'helen', 'prisela', 'tinggal', 'dunia', 'alami', 'gagal', 'napas', 'akut']"
6,"['sulistya', 'versi', 'tgipf', 'pimpin', 'hal', 'korban', 'yg', 'hitung', 'yg', 'ketemu', 'identitas', 'yg', 'ga', 'identitas', 'anggap', 'korban', 'tragedi', 'kanjuruhan']"
7,"['pasca', 'tragedi', 'kanjuruhan', 'luis', 'milla', 'apresiasi', 'main', 'persib', 'bandung']"
8,"['effect', 'tragedi', 'kanjuruhan', 'pengaruh', 'suara', 'pilih', 'lari', 'anies', 'jatim', 'casenya', 'rugi', 'korban', 'kawan']"
9,"['saksi', 'naswa', 'korban', 'tragedi', 'kanjuruhan', 'mata', 'merah', 'pusing', 'dada', 'sesak', 'akibat', 'gas', 'air', 'mata']"
10,"['19', 'polisi', 'yg', 'periksa', 'kapolri', 'usut', 'tuntas', 'tau', 'polisi', 'yg', 'libat', 'dlm', 'tragedi', 'kanjuruhan']"
11,"['trauma', 'akibat', 'tragedi', 'kanjuruhan', 'rasa', 'mbak', 'diby', 'fadilah', 'gas', 'air', 'mata', 'kedaluwarsa', 'picu', 'gagal', 'nafas', 'buta', 'mati']"
12,"['duka', 'cita', 'moga', 'terima', 'sis', 'tragedi', 'kanjuruhan', 'smg', 'selesai']"
13,"['tanggap', 'tragedi', 'kanjuruhan', 'pss', 'sleman', 'komitmen', 'ambil', '6', 'sikap']"
14,"['pentol', 'bonek', 'damai', 'aremania', 'mari', 'respek', 'baca', 'berita', 'media', 'indonesia']"
15,"['bukann', 'kasih', 'tau', 'indo', 'mas', 'duka', 'tragedi', 'bola', 'trus', 'diceritain', 'ttg', 'kanjuruhan', 'eh', 'org', 'indo', 'org', 'bruneiii', 'gituu']"
16,"['polri', 'kan', 'sebab', 'korban', 'tragedi', 'kanjuruhan', 'tinggal']"
17,"['tuan', 'jokowi', 'sampeyan', 'maaf', 'menystakan', 'tanggung', 'ratus', 'korban', 'mati', 'luka', 'luka', 'tragedi', 'kanjuruhan']"
18,"['kapolres', 'malang', 'akbp', 'putu', 'kholis', 'aryana', 'duduk', 'simpuh', 'pintu', 'masuk', 'periksa', 'tiket', 'panjat', 'doa', 'korban', 'tragedi', 'kanjuruhan', 'stadion', 'kanjuruhan', 'kabupaten', 'malang', 'selasa', '11102022', 'siang', 'kunjung', 'stadion', 'kanjuruhan']"
19,"['kalang', 'industri', 'komersialisasi', 'olahraga', 'nasional', 'puji', 'hasil', 'lobi', 'fifa', 'federasi', 'sepak', 'bola', 'internasional', 'urung', 'sanksi', 'berat', 'indonesia', 'paska', 'tragedi', 'kanjuruhan']"
20,"['klopun', 'liga', 'jalan', 'dgn', 'kapasitas', '50', 'ya', 'dapat', 'pribadi', 'sih', 'ga', 'stadion', 'klo', 'kanjuruhan', 'selesai', 'ngoceh', 'teriak', 'asat', 'usut', 'tragedi', 'tragedi', 'klo', 'msih', 'pd', 'nikmat', 'liga', 'atas', 'tragedi', 'manusia', 'yg', 'selesai']"
21,"['tim', 'cari', 'fakta', 'tragedi', 'kanjuruhan', 'bunuh', 'sistematis', '12', 'temu']"
22,"['pssi', 'kompetisi', 'liga', '1', 'tunggu', 'putus', 'fifa', 'baca', 'berita', 'media', 'indonesia']"
23,"['kabid', 'humas', 'polda', 'jatim', 'kombes', 'polisi', 'dirmanto', 'sangka', 'kompol', 'ws', 'akp', 'bs', 'akp', 'h', 'milik', 'acara', 'tolak', 'periksa']"
24,"['tugas', 'cuci', 'piring', 'prioritas', 'yg', 'tawar', 'sembuh', 'luka', 'yg', 'dalam', 'polresta', 'dgn', 'anggota', 'polresta', 'sujud', 'halaman', 'polres', 'doa', 'korban', 'tragedi', 'd', 'i']"
25,"['resmi', 'lapor', 'gaduh', 'kait', 'tragedi', 'kanjuruhan', 'ade', 'armando', 'mohon']"
26,"['dpr', 'geram', 'dengar', 'kadiv', 'humas', 'polri', 'korban', 'tewas', 'tragedi', 'kanjuruhan', 'akibat', 'oksigen']"
27,"['erick', 'temu', 'bahas', 'kembang', 'sepak', 'bola', 'tragedi', 'kanjuruhan']"
28,"['polisi', 'sujud', 'massal', 'maaf', 'tragedi', 'kanjuruhan', 'pakar', 'ub']"
29,"['hukum', 'berat', 'pecat', 'aja', 'gak', 'nyawa', 'perhati', 'jabat', 'negara', 'sungguh2', 'keri', 'buntut', 'tragedi', 'kanjuruhan', 'kapolda', 'jatim', 'irjen', 'nico', 'afinta', 'mutasi', 'sahlisosbud', 'kapolri']"
30,"['mahfud', 'md', 'hasil', 'investigasi', 'tragedi', 'kanjuruhan', 'serah', 'jokowi', 'jumat']"
31,"['kait', 'laga', 'malam', 'arema', 'fc', 'vs', 'baya', 'pt', 'lib', 'minta', 'indosiar', 'baca', 'berita', 'media', 'indonesia']"
32,"['update', 'korban', 'tragedi', 'kanjuruhan', '132', 'tinggal', 'dunia', '607', 'luka', 'luka']"
33,"['update', 'korban', 'tragedi', 'kanjuruhan', '132', 'tinggal', 'dunia', '607', 'luka', 'luka']"
34,"['viral', 'medsos', 'mata', 'merah', 'gas', 'air', 'mata', 'tragedi', 'kanjuruhan']"
35,"['aksi', 'sujud', 'polisi', 'malang', 'salah', 'harap', 'tragedi', 'kanjuruhan', 'tuntas']"
36,"['tuan', 'jokowi', 'sampeyan', 'maaf', 'tanggung', 'ratus', 'korban', 'mati', 'luka', 'luka', 'tragedi', 'kanjuruhan']"
37,"['mati', 'helen', 'pricela', 'korban', 'tragedi', 'kanjuruhan', 'usia', '20', 'tambah', 'duka', 'mati', 'korban', 'jiwa', '132', 'orang']"
38,"['ketua', 'tim', 'gabung', 'independen', 'cari', 'fakta', 'tgipf', 'tragedi', 'kanjuruhan', 'mahfud', 'md', 'm']"
39,"['tragedi', 'kanjuruhan', 'benah', 'sepakbola', 'indonesia', 'desak', 'ketua', 'urus', 'pssi', 'undur', 'lib', 'tandatangani', 'petisi', 'id']"
40,"['19', 'saksi', 'korban', 'tragedi', 'malang', 'lindung', 'lpsk']"
41,"['polisi', 'kota', 'malang', 'sujud', 'maaf', 'kait', 'tragedi', 'kanjuruhan', 'bela', 'jakarta']"
42,"['tgipf', 'tragedi', 'kanjuruhan', 'serah', 'hasil', 'investigasi', 'jokowi', 'jumat']"
43,"['polisi', 'tahan', 'sangka', 'tragedi', 'kanjuruhan', 'malang', 'sangka', 'tragedi', 'kanjuruhan', 'jalan', 'periksa', 'direktorat', 'reserse', 'kriminal', 'umu', 'ditreskrimum', 'polda', 'jatim', 'ikut', 'google', 'berita', 'via']"
44,"['korban', 'tinggal', 'tragedi', 'kanjuruhan', 'tambah', 'orang']"
45,"['susul', 'tragedi', 'kanjuruhan', 'perintah', 'audit', 'stadion', 'stadion']"
46,"['mati', 'helen', 'pricela', 'korban', 'tragedi', 'kanjuruhan', 'usia', '20', 'tambah', 'duka', 'mati', 'korban', 'jiwa', '132', 'orang']"
47,"['federasi', 'sepak', 'bola', 'dunia', 'fifa', 'yg', 'markas', 'zurich', 'swiss', 'kantor', 'indonesia', 'bantu', 'perintah', 'indonesia', 'benah', 'sepak', 'bola', 'tanah', 'air', 'pasca', 'tragedi', 'yg', 'stadion', 'kanjuruhan', 'malang', 'jawa', 'timur', '1', 'oktober']"
48,"['rocky', 'gerung', 'heran', 'jokowi', 'salah', 'pintu', 'tangga', 'tragedi', 'kanjuruhan', 'panik', 'datang', 'gas', 'air', 'mata']"
49,"['menteri', 'pupr', 'audit', 'stadion', 'sepak', 'bola', 'suporter']"
50,"['tragedi', 'kanjuruhan', 'ajar', 'harga']"
51,"['polri', 'suruh', 'nyoba', 'aja', 'kondisi', 'kondisi', 'aremania', 'tragedi', 'kanjuruhan']"
52,"['tragedi', 'kanjuruhan', 'blm', 'yg', 'aku', 'tanggung', 'dlm', 'peristiwa', 'tsb', 'yg', 'salah', 'bola', 'bola']"
53,"['duka', 'hilang', 'nggak', 'sembuh', 'jun', 'terima', 'terima', 'sekian', 'abang', 'jadi', 'meru', 'tragedi', 'kanjuruhan', 'duka', 'hilang', 'lekat']"
54,"['mahfud', 'md', 'bicara', 'gas', 'air', 'mata', 'kedaluarsa', 'tragedi', 'kanjuruhan', 'amat', 'cium', 'indikasi', 'korupsi']"
